credit_amount_wins,credit_amount_log,high_amount_flag,monthly_payment,credit_per_existing,installment_rel,many_dependents_flag,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,savings_status_ord,employment_ord,job_ord,purpose_business,purpose_domestic appliance,purpose_education,purpose_furniture/equipment,purpose_new car,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,purpose_used car,personal_status_female div/dep/mar,personal_status_male div/sep,personal_status_male mar/wid,personal_status_male single,other_parties_co applicant,other_parties_guarantor,other_parties_none,property_magnitude_car,property_magnitude_life insurance,property_magnitude_no known property,property_magnitude_real estate,other_payment_plans_bank,other_payment_plans_none,other_payment_plans_stores,housing_for free,housing_own,housing_rent,own_telephone_none,own_telephone_yes,foreign_worker_no,foreign_worker_yes
1.9887489442250061,1.6321692242954364,-0.10050378152592122,0.5927945867671636,2.496633343557825,-0.05176983523095828,-0.43643578047198484,1.289592031872302,1.9257663831384437,0.052280634896496016,1.053413018870969,1.057783942218908,-0.7187454693270836,-0.4364357804719845,-1.2367916320363355,1.335717456695525,0.1459754639109642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.9119900189986366,-1.4040310597149512,-0.10050378152592122,-0.8209796326914068,-0.7470208663870687,-0.617559514710666,-0.43643578047198484,-0.742595017696657,-0.8928525713645623,0.9421637820708985,1.053413018870969,0.2424489262702798,-0.7187454693270836,-0.4364357804719845,-0.21570462932315856,1.335717456695525,0.1459754639109642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.8470957392064327,1.0614494719572092,-0.10050378152592122,-0.11468925343664772,0.06335430816683978,-0.30874204027340113,-0.43643578047198484,1.289592031872302,0.816433415252783,0.052280634896496016,-0.7472929962930807,-0.6634788692281958,1.045047093438766,-0.4364357804719845,-0.21570462932315856,-0.34179269300058196,0.1459754639109642,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.31517162445250213,0.6754670401780962,-0.10050378152592122,-0.44432325590677707,0.6252115480179813,-0.4284716675215839,-0.43643578047198484,1.289592031872302,0.299568088447757,0.052280634896496016,-0.7472929962930807,-0.5728860896783482,-0.7187454693270836,-0.4364357804719845,-1.2367916320363355,-1.1805477678486354,-2.9681677661896053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2.0472952624310867,1.6556404403247453,-0.10050378152592122,0.12263051998959035,2.5621008033787813,0.8811632359692407,-0.43643578047198484,2.3056855566567815,1.9826552532864263,-1.727485659452309,-0.7472929962930807,-1.025849987427586,-0.7187454693270836,-0.4364357804719845,-1.2367916320363355,0.4969623818474715,0.1459754639109642,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.3180530277237917,-0.014129974896124133,-0.10050378152592122,-0.5567473075538006,-0.5880899910061501,-0.5455786869177033,-0.43643578047198484,0.2734985070878224,-0.31572995446858104,0.9421637820708985,0.15306001128894414,-0.029329412379262863,1.045047093438766,-0.4364357804719845,-0.21570462932315856,0.4969623818474715,0.1459754639109642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.2696306804700546,1.3028147791447404,-0.10050378152592122,1.3822453463014697,1.6925034258885754,2.253714715747338,-0.43643578047198484,-0.06519933450700406,1.2270063794128943,-1.727485659452309,1.053413018870969,2.235490076366926,-0.7187454693270836,-0.4364357804719845,-1.2367916320363355,-2.0193028426966886,1.703047078961249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
-0.9516628530461781,-1.5818635239201781,-0.10050378152592122,-0.89473553906844,-0.9423464776638585,-0.6376517240679968,-0.43643578047198484,-0.742595017696657,-0.9314022662674716,0.9421637820708985,-0.7472929962930807,-0.30110775102880555,1.045047093438766,-0.4364357804719845,-0.21570462932315856,-0.34179269300058196,0.1459754639109642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3.4655027863441736,2.123664768056294,-0.10050378152592122,0.781779178848733,4.147963876146952,-0.18094410080533313,-0.43643578047198484,2.3056855566567815,3.360713278844794,0.9421637820708985,1.053413018870969,0.0612633671705847,-0.7187454693270836,-0.4364357804719845,-1.2367916320363355,-2.0193028426966886,1.703047078961249,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.8996644783236722,-1.35339717347259,-0.10050378152592122,-0.7980651763412605,-0.7332382432668672,-0.6113172749103302,-0.43643578047198484,-0.742595017696657,-0.8808759671228817,0.9421637820708985,-0.7472929962930807,-1.1164427669774335,-0.7187454693270836,-0.4364357804719845,0.8053823733900184,-1.1805477678486354,-1.4110961511393205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
